timestep,time_sec,vehicle_id,sensor_type,total_sensor_tracks,confirmed_sensor_tracks,fused_tracks_vehicle
0,0.0,0,camera,4,0,0
0,0.0,0,radar,4,0,0
0,0.0,0,lidar,4,0,0
0,0.0,1,camera,4,0,0
0,0.0,1,radar,4,0,0
0,0.0,1,lidar,4,0,0
0,0.0,2,camera,4,0,0
0,0.0,2,radar,4,0,0
0,0.0,2,lidar,4,0,0
1,0.1,0,camera,4,4,1
1,0.1,0,radar,4,4,1
1,0.1,0,lidar,4,4,1
1,0.1,1,camera,4,4,1
1,0.1,1,radar,4,4,1
1,0.1,1,lidar,4,3,1
1,0.1,2,camera,4,4,1
1,0.1,2,radar,4,4,1
1,0.1,2,lidar,4,4,1
2,0.2,0,camera,4,4,1
2,0.2,0,radar,4,4,1
2,0.2,0,lidar,4,4,1
2,0.2,1,camera,5,3,2
2,0.2,1,radar,4,4,2
2,0.2,1,lidar,4,3,2
2,0.2,2,camera,4,4,1
2,0.2,2,radar,4,4,1
2,0.2,2,lidar,4,4,1
3,0.30000000000000004,0,camera,4,4,2
3,0.30000000000000004,0,radar,4,4,2
3,0.30000000000000004,0,lidar,4,4,2
3,0.30000000000000004,1,camera,5,4,2
3,0.30000000000000004,1,radar,4,4,2
3,0.30000000000000004,1,lidar,5,4,2
3,0.30000000000000004,2,camera,4,4,2
3,0.30000000000000004,2,radar,4,4,2
3,0.30000000000000004,2,lidar,6,4,2
4,0.4,0,camera,4,4,3
4,0.4,0,radar,5,4,3
4,0.4,0,lidar,5,4,3
4,0.4,1,camera,5,4,1
4,0.4,1,radar,4,4,1
4,0.4,1,lidar,5,4,1
4,0.4,2,camera,4,4,2
4,0.4,2,radar,4,4,2
4,0.4,2,lidar,4,4,2
5,0.5,0,camera,4,4,3
5,0.5,0,radar,6,5,3
5,0.5,0,lidar,4,4,3
5,0.5,1,camera,5,5,2
5,0.5,1,radar,4,4,2
5,0.5,1,lidar,5,4,2
5,0.5,2,camera,4,4,2
5,0.5,2,radar,4,4,2
5,0.5,2,lidar,4,4,2
6,0.6000000000000001,0,camera,4,4,2
6,0.6000000000000001,0,radar,6,4,2
6,0.6000000000000001,0,lidar,4,4,2
6,0.6000000000000001,1,camera,5,5,2
6,0.6000000000000001,1,radar,4,4,2
6,0.6000000000000001,1,lidar,5,4,2
6,0.6000000000000001,2,camera,4,4,4
6,0.6000000000000001,2,radar,4,4,4
6,0.6000000000000001,2,lidar,5,4,4
7,0.7000000000000001,0,camera,4,4,5
7,0.7000000000000001,0,radar,7,4,5
7,0.7000000000000001,0,lidar,6,4,5
7,0.7000000000000001,1,camera,5,4,5
7,0.7000000000000001,1,radar,4,4,5
7,0.7000000000000001,1,lidar,5,4,5
7,0.7000000000000001,2,camera,4,4,4
7,0.7000000000000001,2,radar,4,4,4
7,0.7000000000000001,2,lidar,5,4,4
8,0.8,0,camera,4,4,5
8,0.8,0,radar,6,4,5
8,0.8,0,lidar,5,4,5
8,0.8,1,camera,5,5,3
8,0.8,1,radar,6,4,3
8,0.8,1,lidar,5,4,3
8,0.8,2,camera,4,4,4
8,0.8,2,radar,4,4,4
8,0.8,2,lidar,6,4,4
9,0.9,0,camera,4,4,4
9,0.9,0,radar,6,6,4
9,0.9,0,lidar,5,4,4
9,0.9,1,camera,6,4,2
9,0.9,1,radar,4,4,2
9,0.9,1,lidar,7,4,2
9,0.9,2,camera,4,4,4
9,0.9,2,radar,4,4,4
9,0.9,2,lidar,6,3,4
10,1.0,0,camera,4,4,4
10,1.0,0,radar,6,4,4
10,1.0,0,lidar,6,4,4
10,1.0,1,camera,6,5,4
10,1.0,1,radar,4,4,4
10,1.0,1,lidar,6,4,4
10,1.0,2,camera,4,4,4
10,1.0,2,radar,4,4,4
10,1.0,2,lidar,7,4,4
11,1.1,0,camera,4,4,4
11,1.1,0,radar,6,5,4
11,1.1,0,lidar,5,4,4
11,1.1,1,camera,6,5,3
11,1.1,1,radar,4,4,3
11,1.1,1,lidar,6,4,3
11,1.1,2,camera,4,4,4
11,1.1,2,radar,4,4,4
11,1.1,2,lidar,8,4,4
12,1.2000000000000002,0,camera,4,4,4
12,1.2000000000000002,0,radar,6,4,4
12,1.2000000000000002,0,lidar,6,4,4
12,1.2000000000000002,1,camera,6,5,4
12,1.2000000000000002,1,radar,4,4,4
12,1.2000000000000002,1,lidar,7,4,4
12,1.2000000000000002,2,camera,5,4,4
12,1.2000000000000002,2,radar,4,4,4
12,1.2000000000000002,2,lidar,8,4,4
13,1.3,0,camera,4,4,5
13,1.3,0,radar,6,4,5
13,1.3,0,lidar,7,3,5
13,1.3,1,camera,6,5,4
13,1.3,1,radar,4,4,4
13,1.3,1,lidar,7,4,4
13,1.3,2,camera,5,5,5
13,1.3,2,radar,4,4,5
13,1.3,2,lidar,9,4,5
14,1.4000000000000001,0,camera,4,4,4
14,1.4000000000000001,0,radar,6,4,4
14,1.4000000000000001,0,lidar,6,4,4
14,1.4000000000000001,1,camera,6,4,5
14,1.4000000000000001,1,radar,4,4,5
14,1.4000000000000001,1,lidar,7,4,5
14,1.4000000000000001,2,camera,5,4,4
14,1.4000000000000001,2,radar,4,4,4
14,1.4000000000000001,2,lidar,8,4,4
15,1.5,0,camera,4,4,4
15,1.5,0,radar,5,4,4
15,1.5,0,lidar,6,4,4
15,1.5,1,camera,6,5,4
15,1.5,1,radar,4,4,4
15,1.5,1,lidar,7,4,4
15,1.5,2,camera,5,5,5
15,1.5,2,radar,4,4,5
15,1.5,2,lidar,9,5,5
16,1.6,0,camera,4,4,5
16,1.6,0,radar,5,5,5
16,1.6,0,lidar,7,5,5
16,1.6,1,camera,6,5,4
16,1.6,1,radar,4,4,4
16,1.6,1,lidar,8,3,4
16,1.6,2,camera,5,4,5
16,1.6,2,radar,4,4,5
16,1.6,2,lidar,9,4,5
17,1.7000000000000002,0,camera,4,4,6
17,1.7000000000000002,0,radar,5,5,6
17,1.7000000000000002,0,lidar,8,3,6
17,1.7000000000000002,1,camera,6,5,3
17,1.7000000000000002,1,radar,4,4,3
17,1.7000000000000002,1,lidar,9,4,3
17,1.7000000000000002,2,camera,5,5,5
17,1.7000000000000002,2,radar,5,4,5
17,1.7000000000000002,2,lidar,9,5,5
18,1.8,0,camera,6,4,6
18,1.8,0,radar,5,5,6
18,1.8,0,lidar,8,4,6
18,1.8,1,camera,6,5,3
18,1.8,1,radar,5,4,3
18,1.8,1,lidar,7,4,3
18,1.8,2,camera,5,4,3
18,1.8,2,radar,5,5,3
18,1.8,2,lidar,9,4,3
19,1.9000000000000001,0,camera,5,5,6
19,1.9000000000000001,0,radar,5,4,6
19,1.9000000000000001,0,lidar,7,4,6
19,1.9000000000000001,1,camera,6,6,4
19,1.9000000000000001,1,radar,4,4,4
19,1.9000000000000001,1,lidar,8,4,4
19,1.9000000000000001,2,camera,5,4,4
19,1.9000000000000001,2,radar,6,4,4
19,1.9000000000000001,2,lidar,9,3,4
20,2.0,0,camera,5,4,7
20,2.0,0,radar,5,5,7
20,2.0,0,lidar,9,4,7
20,2.0,1,camera,6,4,4
20,2.0,1,radar,4,4,4
20,2.0,1,lidar,10,4,4
20,2.0,2,camera,5,4,4
20,2.0,2,radar,5,5,4
20,2.0,2,lidar,7,4,4
21,2.1,0,camera,6,4,6
21,2.1,0,radar,5,5,6
21,2.1,0,lidar,7,4,6
21,2.1,1,camera,6,5,5
21,2.1,1,radar,4,4,5
21,2.1,1,lidar,9,4,5
21,2.1,2,camera,5,4,4
21,2.1,2,radar,6,5,4
21,2.1,2,lidar,9,4,4
22,2.2,0,camera,5,4,4
22,2.2,0,radar,5,4,4
22,2.2,0,lidar,7,4,4
22,2.2,1,camera,6,4,5
22,2.2,1,radar,5,4,5
22,2.2,1,lidar,9,4,5
22,2.2,2,camera,5,4,4
22,2.2,2,radar,6,5,4
22,2.2,2,lidar,8,5,4
23,2.3000000000000003,0,camera,6,5,6
23,2.3000000000000003,0,radar,5,5,6
23,2.3000000000000003,0,lidar,6,4,6
23,2.3000000000000003,1,camera,6,5,4
23,2.3000000000000003,1,radar,5,4,4
23,2.3000000000000003,1,lidar,8,4,4
23,2.3000000000000003,2,camera,5,4,4
23,2.3000000000000003,2,radar,6,4,4
23,2.3000000000000003,2,lidar,8,4,4
24,2.4000000000000004,0,camera,6,5,5
24,2.4000000000000004,0,radar,5,4,5
24,2.4000000000000004,0,lidar,7,4,5
24,2.4000000000000004,1,camera,6,4,3
24,2.4000000000000004,1,radar,5,4,3
24,2.4000000000000004,1,lidar,8,5,3
24,2.4000000000000004,2,camera,4,4,4
24,2.4000000000000004,2,radar,6,6,4
24,2.4000000000000004,2,lidar,8,4,4
25,2.5,0,camera,6,5,6
25,2.5,0,radar,5,4,6
25,2.5,0,lidar,6,4,6
25,2.5,1,camera,6,5,3
25,2.5,1,radar,5,5,3
25,2.5,1,lidar,9,5,3
25,2.5,2,camera,4,4,4
25,2.5,2,radar,6,5,4
25,2.5,2,lidar,8,4,4
26,2.6,0,camera,6,5,6
26,2.6,0,radar,5,5,6
26,2.6,0,lidar,7,4,6
26,2.6,1,camera,6,5,3
26,2.6,1,radar,5,5,3
26,2.6,1,lidar,8,5,3
26,2.6,2,camera,4,4,4
26,2.6,2,radar,6,5,4
26,2.6,2,lidar,8,4,4
27,2.7,0,camera,6,4,7
27,2.7,0,radar,5,5,7
27,2.7,0,lidar,5,4,7
27,2.7,1,camera,5,5,3
27,2.7,1,radar,5,4,3
27,2.7,1,lidar,7,5,3
27,2.7,2,camera,4,4,6
27,2.7,2,radar,6,5,6
27,2.7,2,lidar,6,5,6
28,2.8000000000000003,0,camera,6,4,6
28,2.8000000000000003,0,radar,6,4,6
28,2.8000000000000003,0,lidar,5,4,6
28,2.8000000000000003,1,camera,5,5,4
28,2.8000000000000003,1,radar,5,5,4
28,2.8000000000000003,1,lidar,6,4,4
28,2.8000000000000003,2,camera,4,4,6
28,2.8000000000000003,2,radar,6,4,6
28,2.8000000000000003,2,lidar,6,5,6
29,2.9000000000000004,0,camera,6,5,5
29,2.9000000000000004,0,radar,5,4,5
29,2.9000000000000004,0,lidar,6,4,5
29,2.9000000000000004,1,camera,5,4,5
29,2.9000000000000004,1,radar,5,5,5
29,2.9000000000000004,1,lidar,8,4,5
29,2.9000000000000004,2,camera,4,4,5
29,2.9000000000000004,2,radar,6,5,5
29,2.9000000000000004,2,lidar,8,3,5
30,3.0,0,camera,5,4,5
30,3.0,0,radar,5,4,5
30,3.0,0,lidar,6,4,5
30,3.0,1,camera,5,4,4
30,3.0,1,radar,5,4,4
30,3.0,1,lidar,8,5,4
30,3.0,2,camera,4,4,5
30,3.0,2,radar,6,5,5
30,3.0,2,lidar,9,4,5
31,3.1,0,camera,5,5,6
31,3.1,0,radar,7,4,6
31,3.1,0,lidar,8,3,6
31,3.1,1,camera,5,4,4
31,3.1,1,radar,5,4,4
31,3.1,1,lidar,8,5,4
31,3.1,2,camera,4,4,5
31,3.1,2,radar,6,5,5
31,3.1,2,lidar,9,4,5
32,3.2,0,camera,5,5,6
32,3.2,0,radar,5,4,6
32,3.2,0,lidar,8,4,6
32,3.2,1,camera,6,5,5
32,3.2,1,radar,6,5,5
32,3.2,1,lidar,9,4,5
32,3.2,2,camera,5,4,6
32,3.2,2,radar,6,6,6
32,3.2,2,lidar,11,4,6
33,3.3000000000000003,0,camera,5,4,6
33,3.3000000000000003,0,radar,5,5,6
33,3.3000000000000003,0,lidar,9,3,6
33,3.3000000000000003,1,camera,6,4,6
33,3.3000000000000003,1,radar,5,5,6
33,3.3000000000000003,1,lidar,9,3,6
33,3.3000000000000003,2,camera,5,4,6
33,3.3000000000000003,2,radar,6,5,6
33,3.3000000000000003,2,lidar,10,3,6
34,3.4000000000000004,0,camera,5,4,6
34,3.4000000000000004,0,radar,5,4,6
34,3.4000000000000004,0,lidar,9,4,6
34,3.4000000000000004,1,camera,6,5,6
34,3.4000000000000004,1,radar,6,5,6
34,3.4000000000000004,1,lidar,9,4,6
34,3.4000000000000004,2,camera,5,4,5
34,3.4000000000000004,2,radar,6,5,5
34,3.4000000000000004,2,lidar,8,4,5
35,3.5,0,camera,5,5,7
35,3.5,0,radar,5,5,7
35,3.5,0,lidar,9,4,7
35,3.5,1,camera,6,5,7
35,3.5,1,radar,5,4,7
35,3.5,1,lidar,8,4,7
35,3.5,2,camera,5,4,5
35,3.5,2,radar,6,6,5
35,3.5,2,lidar,7,4,5
36,3.6,0,camera,5,4,6
36,3.6,0,radar,5,5,6
36,3.6,0,lidar,10,4,6
36,3.6,1,camera,6,5,7
36,3.6,1,radar,6,4,7
36,3.6,1,lidar,9,5,7
36,3.6,2,camera,5,4,5
36,3.6,2,radar,8,5,5
36,3.6,2,lidar,7,4,5
37,3.7,0,camera,5,5,8
37,3.7,0,radar,5,5,8
37,3.7,0,lidar,9,4,8
37,3.7,1,camera,6,4,6
37,3.7,1,radar,5,5,6
37,3.7,1,lidar,8,4,6
37,3.7,2,camera,5,4,5
37,3.7,2,radar,6,4,5
37,3.7,2,lidar,7,4,5
38,3.8000000000000003,0,camera,5,5,7
38,3.8000000000000003,0,radar,5,5,7
38,3.8000000000000003,0,lidar,9,5,7
38,3.8000000000000003,1,camera,6,5,9
38,3.8000000000000003,1,radar,5,5,9
38,3.8000000000000003,1,lidar,8,4,9
38,3.8000000000000003,2,camera,5,4,5
38,3.8000000000000003,2,radar,6,5,5
38,3.8000000000000003,2,lidar,8,4,5
39,3.9000000000000004,0,camera,5,5,6
39,3.9000000000000004,0,radar,5,4,6
39,3.9000000000000004,0,lidar,8,4,6
39,3.9000000000000004,1,camera,6,4,8
39,3.9000000000000004,1,radar,5,5,8
39,3.9000000000000004,1,lidar,8,4,8
39,3.9000000000000004,2,camera,4,4,5
39,3.9000000000000004,2,radar,8,4,5
39,3.9000000000000004,2,lidar,8,4,5
40,4.0,0,camera,5,5,6
40,4.0,0,radar,5,4,6
40,4.0,0,lidar,9,4,6
40,4.0,1,camera,6,6,9
40,4.0,1,radar,5,5,9
40,4.0,1,lidar,8,5,9
40,4.0,2,camera,4,4,4
40,4.0,2,radar,7,6,4
40,4.0,2,lidar,9,4,4
41,4.1000000000000005,0,camera,5,4,5
41,4.1000000000000005,0,radar,5,4,5
41,4.1000000000000005,0,lidar,8,5,5
41,4.1000000000000005,1,camera,6,5,7
41,4.1000000000000005,1,radar,6,4,7
41,4.1000000000000005,1,lidar,7,4,7
41,4.1000000000000005,2,camera,4,4,4
41,4.1000000000000005,2,radar,7,4,4
41,4.1000000000000005,2,lidar,10,4,4
42,4.2,0,camera,6,4,5
42,4.2,0,radar,6,4,5
42,4.2,0,lidar,9,5,5
42,4.2,1,camera,6,4,7
42,4.2,1,radar,6,4,7
42,4.2,1,lidar,8,4,7
42,4.2,2,camera,4,4,5
42,4.2,2,radar,7,5,5
42,4.2,2,lidar,10,4,5
43,4.3,0,camera,5,4,5
43,4.3,0,radar,5,4,5
43,4.3,0,lidar,10,3,5
43,4.3,1,camera,6,6,7
43,4.3,1,radar,8,3,7
43,4.3,1,lidar,9,3,7
43,4.3,2,camera,4,4,5
43,4.3,2,radar,7,5,5
43,4.3,2,lidar,8,3,5
44,4.4,0,camera,5,4,5
44,4.4,0,radar,5,4,5
44,4.4,0,lidar,10,4,5
44,4.4,1,camera,6,6,7
44,4.4,1,radar,7,4,7
44,4.4,1,lidar,7,4,7
44,4.4,2,camera,5,4,4
44,4.4,2,radar,7,5,4
44,4.4,2,lidar,8,5,4
45,4.5,0,camera,5,5,6
45,4.5,0,radar,5,5,6
45,4.5,0,lidar,10,4,6
45,4.5,1,camera,6,5,5
45,4.5,1,radar,7,5,5
45,4.5,1,lidar,8,5,5
45,4.5,2,camera,5,5,3
45,4.5,2,radar,7,5,3
45,4.5,2,lidar,9,4,3
46,4.6000000000000005,0,camera,5,5,6
46,4.6000000000000005,0,radar,5,5,6
46,4.6000000000000005,0,lidar,10,6,6
46,4.6000000000000005,1,camera,6,5,5
46,4.6000000000000005,1,radar,6,5,5
46,4.6000000000000005,1,lidar,6,4,5
46,4.6000000000000005,2,camera,5,5,5
46,4.6000000000000005,2,radar,6,6,5
46,4.6000000000000005,2,lidar,8,5,5
47,4.7,0,camera,6,5,6
47,4.7,0,radar,5,5,6
47,4.7,0,lidar,9,4,6
47,4.7,1,camera,6,5,4
47,4.7,1,radar,6,5,4
47,4.7,1,lidar,6,5,4
47,4.7,2,camera,5,5,6
47,4.7,2,radar,6,4,6
47,4.7,2,lidar,8,6,6
48,4.800000000000001,0,camera,6,6,6
48,4.800000000000001,0,radar,5,5,6
48,4.800000000000001,0,lidar,9,6,6
48,4.800000000000001,1,camera,6,5,4
48,4.800000000000001,1,radar,6,5,4
48,4.800000000000001,1,lidar,7,4,4
48,4.800000000000001,2,camera,5,4,5
48,4.800000000000001,2,radar,6,5,5
48,4.800000000000001,2,lidar,8,5,5
49,4.9,0,camera,6,4,6
49,4.9,0,radar,5,5,6
49,4.9,0,lidar,9,4,6
49,4.9,1,camera,6,4,4
49,4.9,1,radar,6,5,4
49,4.9,1,lidar,6,4,4
49,4.9,2,camera,5,5,4
49,4.9,2,radar,6,6,4
49,4.9,2,lidar,8,5,4
